id,title,clean_title,category,year,author,advisor,url,abstract_snippet
21,ANALISIS PERBANDINGAN DISTANCE MEASURE PADA ALGORITMA K-MEANS DALAM TINGKAT KRIMINALITAS MENGGUNAKAN METODE EVALUASI SILHOUETTE COEFFICIENT,analisis perbandingan distance measure pada algoritma k means dalam tingkat kriminalitas menggunakan metode evaluasi silhouette coefficient,Teknik Informatika,2024,Cikal Arvi Yuliawan,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2406070039,Clustering adalah teknik data mining yang digunakan untuk proses mengelompokkan data atau objek ke dalam cluster berdasarkan kesamaan atribut mereka. Hasil dari clustering adalah data dengan ciri-ciri mirip satu sama lain dan berbeda dari data di cluster lain. Sedangkan K-means merupakan metode data...
22,Analisis Perbandingan Distance Measure Pada K-Means Clustering Menggunakan Metode Evaluasi Silhouette Coefficient (Studi Kasus : Kepadatan Penduduk Kota Bandar Lampung),analisis perbandingan distance measure pada k means clustering menggunakan metode evaluasi silhouette coefficient studi kasus kepadatan penduduk kota bandar lampung,Teknik Informatika,2021,Wahyu Wiranti,"Angga Wijaya S.Si., M.Si.",https://repo.itera.ac.id/depan/submission/SB2106020009,"Distance measure digunakan untuk mengukur kemiripan data dalam suatu cluster. Hasil dari proses clustering akan menghasilkan hasil yang berbeda apabila distance measure yang digunakan berbeda [1]. Oleh karena itu, diperlukan penelitian untuk menganalisis perbandingan dari berbagai distance measure ..."
23,Analisis Perbandingan Manual Testing Dengan Automation Testing Dalam Menguji Perangkat Lunak Pada Website Lampung Cerdas,analisis perbandingan manual testing dengan automation testing dalam menguji perangkat lunak pada website lampung cerdas,Teknik Informatika,2025,Devi Kurnia,"Mugi Praseptiawan, S.T., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2505220002,"PT. Lampung Cerdas mengelola portal pendidikan “Lampung Cerdas” dan masih menggunakan metode manual testing dalam proses pengujian perangkat lunak. Metode ini menghadapi sejumlah kendala seperti keterbatasan sumber daya manusia, potensi human error, proses yang memakan waktu, dan deteksi bug yan..."
24,Analisis Perbandingan Optimizer Pada Klasifikasi Tumbuhan Jamur Dengan Metode Convolutional Neural Network,analisis perbandingan optimizer pada klasifikasi tumbuhan jamur dengan metode convolutional neural network,Teknik Informatika,-0001,Fatya Asti Utami,"Winda Yulita, M.Cs.",https://repo.itera.ac.id/depan/submission/SB2505200045,"Klasifikasi jamur menjadi kategori dapat dimakan atau tidak dapat dimakan sangat penting untuk mencegah konsumsi yang sembarangan. Penelitian ini membandingkan kinerja tiga optimizer Adam, Adadelta, dan SGD dalam model Convolutional Neural Network (CNN) untuk klasifikasi tumbuhan jamur. Dataset terd..."
25,Analisis Perbandingan Region Of Interest (ROI) Untuk Pengukuran Frekuensi Denyut Nadi Secara Non-Kontak Menggunakan Algoritma POS Pada Citra Wajah,analisis perbandingan region of interest roi untuk pengukuran frekuensi denyut nadi secara non kontak menggunakan algoritma pos pada citra wajah,Teknik Informatika,2025,Ardoni Yeriko Rifana Gultom,"Martin Clinton Tosima Manullang, S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB2505230036,"Pengukuran frekuensi denyut nadi (FDN) merupakan indikator penting dalam pemantauan kesehatan kardiovaskular. Metode konvensional berbasis kontak, seperti pulse oximeter, memiliki keterbatasan dalam hal kenyamanan dan potensi risiko infeksi. Teknologi remote photoplethysmography (rPPG) berbasis citr..."
26,Analisis Perbandingan Watermarking Video Berformat MP4 Menggunakan Metode Discrete Wavelet Transform dan Spread Spectrum,analisis perbandingan watermarking video berformat mp4 menggunakan metode discrete wavelet transform dan spread spectrum,Teknik Informatika,2021,Rada Safta Fathona,"Hartanto Tantriawan S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2106040079,ABSTRAK Steganografi yaitu teknik yang menyembunyikan suatu pesan didalam suatu citra digital. Penggunaan teknologi beserta internet dengan cepat berkembang sehingga dapat menyebabkan suatu pemalsuan atau penyebaran file citra tanpa dicantumkan sumbernya bahkan mengakui hak cipta suatu file citra...
27,Analisis Perubahan Luas Sampah Pada Tempat Pembuangan Akhir (TPA) Bakung Akibat Perkembangan Kota Bandar Lampung,analisis perubahan luas sampah pada tempat pembuangan akhir tpa bakung akibat perkembangan kota bandar lampung,Teknik Informatika,2019,Naufal Nashshar Lathif (23115023),"Dr. Andri Hernandi, S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB1909270012,Sampah telah menjadi permasalahan serius di Indonesia. Setiap orang memproduksi sampah tiap harinya. Jumlah penduduk Indonesia yang besar dengan tingkatan pertumbuhan kota yang tinggi mengakibatkan bertambahnya luas sampah. Pola konsumsi masyarakat memberikan kontribusi dengan semakin beragamnya jen...
28,ANALISIS RASA FRAMEWORK DALAM PENERAPAN CHATBOT PADA AUTOMATIC FARE COLLECTION (STUDI KASUS PT XYZ),analisis rasa framework dalam penerapan chatbot pada automatic fare collection studi kasus pt xyz,Teknik Informatika,2024,Fujita Rahmah,"Winda Yulita, S.Pd., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2408070027,"Transportasi menjadi bagian yang vital dalam kehidupan sehari hari bagi manusia karena berfungsi sebagai sarana perpindahan manusia dari satu tempat ke tempat lainnya. Penerapan tersebut dapat dilihat dalam penggunaan teknologi Kereta Api Bawah Tanah yang mulai diterapkan di Indonesia, tepatny..."
29,Analisis Sentimen Berbasis Feature Selection Particle Swarm Optimization Menggunakan Metode Random Forest,analisis sentimen berbasis feature selection particle swarm optimization menggunakan metode random forest,Teknik Informatika,2021,Muhammad Farhan,Meida Cahyo Untoro,https://repo.itera.ac.id/depan/submission/SB2103180001,"Analisis sentimen atau mining opini merupakan bidang studi yang menganalisis opini, penilaian, dan emosi masyarakat terhadap sebuah produk, organisasi, individu, kejadian ataupun topik. Pada beberapa penelitian yang telah melakukan analisis sentimen, Particle Swarm Optimization (PSO) digunakan sebag..."
30,ANALISIS SENTIMEN KENAIKAN HARGA BAHAN BAKAR MINYAK (BBM) PADA DATA KOMENTAR TWITTER MENGGUNAKAN METODE BERT,analisis sentimen kenaikan harga bahan bakar minyak bbm pada data komentar twitter menggunakan metode bert,Teknik Informatika,2023,Venika Purba,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2306090074,"Kenaikan harga bahan bakar minyak (BBM) dapat mempengaruhi berbagai aspek kehidupan masyarakat dan menjadi perhatian yang signifikan di berbagai negara. Dalam penelitian ini ,analisis sentimen dapat memberikan wawasan tentang pandangan dan reaksi masyarakat terhadap perubahan harga BBM. Dalam peneli..."
