id,title,clean_title,category,year,author,abstract_snippet,cluster
248,PENENTUAN DOSIS DAN UKURAN PAKAN YANG DIPAKAI PADA BUDIDAYA IKAN LELE MENGGUNAKAN LOGIKA FUZZY,penentuan dosis dan ukuran pakan yang dipakai pada budidaya ikan lele menggunakan logika fuzzy,Teknik Informatika,2021,Ilham Perdana Kesuma,"Dalam menentukan ukuran dan dosis pakan yang akan dipakai, peternak melakukan perkiraan atau penalaran pada kondisi ikan secara langsung, peternak perlu memilih ukuran dan takaran pakan yang tepat, hal ini agar ikan lebih mudah memakan pakan yang diberikan serta jumlah pakan yang diberikan sesuai de...",6
250,PENERAPAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK (CNN) ARSITEKTUR RESNET-50 PADA KLASIFIKASI CITRA TANAMAN ANGGREK,penerapan algoritma convolutional neural network cnn arsitektur resnet 50 pada klasifikasi citra tanaman anggrek,Teknik Informatika,2025,Desi Togi Sintauli Tambunan,Perkembangan teknologi pengolahan citra digital dan deep learning dapat diterapkan pada berbagai bidang. Salah satu implementasinya adalah pada berbagai genus tanaman anggrek. Kesalahan identifikasi tidak hanya menghambat proses budidaya tetapi juga dapat mengurangi nilai keanekaragaman hayati dan n...,6
253,Penerapan Algoritma Naive Bayes Dalam Deteksi Penyakit Pada Daun Singkong Berbasis Webb,penerapan algoritma naive bayes dalam deteksi penyakit pada daun singkong berbasis webb,Teknik Informatika,2023,Resya Lianti,"Penelitian ini bertujuan mengembangkan sistem web berbasis algoritma Naïve Bayes untuk mendeteksi penyakit pada daun singkong, yang merupakan sumber makanan penting di Indonesia. Meskipun produksi singkong tinggi, serangan hama dan penyakit, seperti Cassava Mosaic Disease (CMD) dan Cassava Brown St...",6
296,Pengembangan Aplikasi Monitoring dan Kontrol Otomatis Budidaya Udang dengan Metode Rapid Application Development (RAD) (Studi Kasus: Kelompok Budidaya Tambak Udang Sadewa Farm),pengembangan aplikasi monitoring dan kontrol otomatis budidaya udang dengan metode rapid application development rad studi kasus kelompok budidaya tambak udang sadewa farm,Teknik Informatika,2025,RIZKI ESA FADILLAH,"Budidaya udang merupakan sektor strategis yang mendukung perekonomian Indonesia, namun masih menghadapi tantangan dalam pemantauan kualitas air dan pemberian pakan yang masih dilakukan secara manual. Hal ini juga terjadi di Sadewa Farm di Desa Pujodadi, Kecamatan Pardasuka, Kabupaten Pringsewu, Prov...",6
323,Pengembangan Prototype Alat Pemilahan Buah Tomat Berdasarkan Tingkat Kematangan Menggunakan Metode KNN,pengembangan prototype alat pemilahan buah tomat berdasarkan tingkat kematangan menggunakan metode knn,Teknik Informatika,2025,MUHAMMAD IQBAL,"Buah tomat merupakan salah satu komoditas hortikultura dengan nilai ekonomi tinggi yang memerlukan perhatian khusus dalam proses pemilahan untuk memastikan kualitas sesuai standar. Proses pemilahan tomat secara manual masih umum dilakukan dan rentan terhadap kesalahan manusia, bersifat subjektif, se...",6
396,PENGEMBANGAN SISTEM MONITORING DAN KLASIFIKASI KUALITAS AIR PADA TAMBAK UDANG VANAME DENGAN METODE ALGORITMA C4.5 BERBASIS INTERNET OF THINGS (Studi kasus : Petambak Tradisional di Bratasena),pengembangan sistem monitoring dan klasifikasi kualitas air pada tambak udang vaname dengan metode algoritma c4 5 berbasis internet of things studi kasus petambak tradisional di bratasena,Teknik Informatika,2023,Adam Taufiqurrahman,"Peternak tambak udang vaname sekarang sudah banyak ditemui di berbagai daerah karena pendapatannya yang lumayan menjanjikan. Kondisi air tambak udang menjadi hal yang penting untuk diperhatikan demi kelancaran petambak dalam mengembangbiakkan udang. Oleh sebab itu, diperlukan alat pendeteksi kualita...",6
443,PENGENALAN TANAMAN BERBASIS CITRA DIGITAL MENGGUNAKAN METODE YOLOv4 (YOU ONLY LOOK ONCE) (STUDI KASUS: KEBUN RAYA ITERA),pengenalan tanaman berbasis citra digital menggunakan metode yolov4 you only look once studi kasus kebun raya itera,Teknik Informatika,2023,Muhammad Tyaz Gagaman,"Kebun Raya adalah sebuah lahan yang memiliki berbagai jenis tanaman yang bertujuan sebagai tempat penelitian dan konservasi eksitu. Kebun Raya ITERA diharapkan menjadi kawasan tujuan konservasi, penelitian, pendidikan, wisata dan jasa lingkungan yang memiliki tanaman yang terdokumentasi. Dari hasil ...",6
476,PERANCANGAN PURWARUPA ATAP PENJEMUR KOPI OTOMATIS DENGAN ARDUINO MEGA MENGGUNAKAN FUZZY LOGIC MAMDANI ( STUDI KASUS: LAMPUNG BARAT),perancangan purwarupa atap penjemur kopi otomatis dengan arduino mega menggunakan fuzzy logic mamdani studi kasus lampung barat,Teknik Informatika,2021,Muhammad Julian,"Lampung Barat merupakan kabupaten penghasil kopi terbesar di Provinsi Lampung. Kontribusi Lampung Barat yang sangat besar mampu menjadikan Provinsi Lampung berada di urutan ke-2 dalam hal produksi kopi di Indonesia, memberikan perhatian khusus di bidang ini merupakan hal yang perlu dilakukan untuk m...",6
478,PERANCANGAN PURWARUPA SISTEM INKUBATOR OTOMATIS PENYEMAI TANAMAN SOLANACEAE MENGGUNAKAN ARDUINO UNO,perancangan purwarupa sistem inkubator otomatis penyemai tanaman solanaceae menggunakan arduino uno,Teknik Informatika,2021,AZIZ WIJAYA,"Perkembangan teknologi kini telah menyebar secara global hingga ke berbagai bidang. Tak terkecuali bidang industri pertanian, yang kini telah dipermudah dengan peran teknologi pertanian seperti mesin pembajak sawah, mesin penanam padi, dan lain sebagainya. Teknologi pertanian tersebut diciptakan unt...",6
480,PERANCANGAN SISTEM INFORMASI GEOGRAFIS PEMETAAN TANAMAN DAN FASILITAS KEBUN RAYA ITERA DENGAN METODE RAPID APPLICATION DEVELOPMENT,perancangan sistem informasi geografis pemetaan tanaman dan fasilitas kebun raya itera dengan metode rapid application development,Teknik Informatika,2023,Martin Pasaribu,"Kebun Raya ITERA merupakan salah satu kebun raya di Indonesia yang bertujuan untuk melestarikan keanekaragaman hayati di wilayah Lampung dan sekitarnya serta menjadi sarana edukasi dan penelitian. Namun, beberapa permasalahan terjadi, seperti kesulitan mengelola data lokasi tanaman dan fasilitas ser...",6
536,Perbandingan Metode K-Nearest Neighbor dan Support Vector Machine dalam Identifikasi Penyakit pada Daun Jagung,perbandingan metode k nearest neighbor dan support vector machine dalam identifikasi penyakit pada daun jagung,Teknik Informatika,2023,Mutiara Putri Amanda,"Di Indonesia, jagung masuk ke dalam komoditas pangan terbesar kedua setelah padi. Dalam pertumbuhannya, jagung merupakan tumbuhan yang sangat mudah terserang penyakit dari awal tumbuh hingga munculnya tongkol. Adapun penyakit yang sering menyerang tanaman jagung yaitu hawar daun, bercak daun, dan ka...",6
551,PERBANDINGAN METODE SIMPLE ADDITIVE WEIGHTING (SAW) DAN SIMPLE MULTI ATTRIBUTE RATING TECHNIQUE (SMART) DALAM SISTEM REKOMENDASI KESESUAIAN LAHAN TERHADAP JENIS TANAMAN PERTANIAN,perbandingan metode simple additive weighting saw dan simple multi attribute rating technique smart dalam sistem rekomendasi kesesuaian lahan terhadap jenis tanaman pertanian,Teknik Informatika,2021,Imam Haris Syafaat,"Dalam usaha pertanian, lahan adalah salah satu dari faktor produksi yang paling penting, disamping faktor lainnya yaitu faktor modal dan tenaga kerja. Kesuburan dari lahan merupakan faktor yang menentukan berhasil tidaknya usaha pertanian tersebut. Setiap lahan dengan daerah yang berbeda mempu...",6
553,PERBANDINGAN METODE TREND MOMENT DENGAN DOUBLE EXPONENTIAL SMOOTHING HOLT UNTUK PREDIKSI PENJUALAN ALAT PEMADAM KEBAKARAN,perbandingan metode trend moment dengan double exponential smoothing holt untuk prediksi penjualan alat pemadam kebakaran,Teknik Informatika,2023,Muhammad Zulfarhan,"CV. Indomulti Prakarsa Mandiri merupakan perusahaan yang bergerak dalam industri alat pemadam kebakaran, peralatan tangan, pompa air dan perlengkapannya, safety equipment in palm oil plantation, perlengkapan individu dan regu, sprayer (penyemprot). Perusahaan tidak bisa mengetahui perkembangan ...",6
